Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.0004715044055666437
0.02,0.1,0.05,0.7103449999999999,0.7492922299856345
0.04,0.1,0.05,0.82986625,0.8745602194951773
0.06,0.1,0.05,0.86739875,0.916351959764784
0.08,0.1,0.05,0.885515,0.9372525239109264
0.1,0.1,0.05,0.8941062500000001,
0.12,0.1,0.05,0.8994787500000001,
0.14,0.1,0.05,0.9030175,
0.16,0.1,0.05,0.90521125,
0.18,0.1,0.05,0.9069575000000001,
0.2,0.1,0.05,0.90780375,
0.22,0.1,0.05,0.9077299999999999,
0.24,0.1,0.05,0.9079787500000001,
0.26,0.1,0.05,0.90855875,
0.28,0.1,0.05,0.9087062500000002,
0.3,0.1,0.05,0.9089087499999999,
0.32,0.1,0.05,0.9087437500000002,
0.34,0.1,0.05,0.90919375,
0.36,0.1,0.05,0.9088300000000001,
0.38,0.1,0.05,0.9090712500000001,
0.4,0.1,0.05,0.9090437500000002,
0.42,0.1,0.05,0.9092737500000001,
0.44,0.1,0.05,0.9093875,
0.46,0.1,0.05,0.9086087500000001,
0.48,0.1,0.05,0.908965,
0.5,0.1,0.05,0.9089075,
0.52,0.1,0.05,0.9087212499999999,
0.54,0.1,0.05,0.908795,
0.56,0.1,0.05,0.90865625,
0.58,0.1,0.05,0.9094787500000001,
0.6,0.1,0.05,0.90930375,
0.62,0.1,0.05,0.9092887500000001,
0.64,0.1,0.05,0.9088662500000001,
0.66,0.1,0.05,0.909155,
0.68,0.1,0.05,0.90899125,
0.7000000000000001,0.1,0.05,0.9093049999999999,
0.72,0.1,0.05,0.9092325,
0.74,0.1,0.05,0.90945875,
0.76,0.1,0.05,0.90933125,
0.78,0.1,0.05,0.9086487500000001,
0.8,0.1,0.05,0.9094775000000002,
0.8200000000000001,0.1,0.05,0.9092500000000001,
0.84,0.1,0.05,0.90909875,
0.86,0.1,0.05,0.90913,
0.88,0.1,0.05,0.9091750000000001,
0.9,0.1,0.05,0.9090812500000002,
0.92,0.1,0.05,0.9089875000000001,
0.9400000000000001,0.1,0.05,0.909005,
0.96,0.1,0.05,0.90897125,
0.98,0.1,0.05,0.90923625,
1.0,0.1,0.05,0.90886875,
0.0,0.3,0.05,0.0,0.00013759683604586438
0.02,0.3,0.05,0.16658,0.2523385847351895
0.04,0.3,0.05,0.53248125,0.624485202242074
0.06,0.3,0.05,0.643035,0.7494235249790749
0.08,0.3,0.05,0.6927862499999999,0.8119650260556571
0.1,0.3,0.05,0.72161125,
0.12,0.3,0.05,0.7377900000000001,
0.14,0.3,0.05,0.7476374999999998,
0.16,0.3,0.05,0.7549475,
0.18,0.3,0.05,0.75884875,
0.2,0.3,0.05,0.7622987499999999,
0.22,0.3,0.05,0.76471375,
0.24,0.3,0.05,0.76579125,
0.26,0.3,0.05,0.76716125,
0.28,0.3,0.05,0.7669675000000001,
0.3,0.3,0.05,0.76826125,
0.32,0.3,0.05,0.7688312500000001,
0.34,0.3,0.05,0.76853875,
0.36,0.3,0.05,0.76901125,
0.38,0.3,0.05,0.7692762500000001,
0.4,0.3,0.05,0.76930875,
0.42,0.3,0.05,0.7693875000000001,
0.44,0.3,0.05,0.76994125,
0.46,0.3,0.05,0.76828125,
0.48,0.3,0.05,0.7690325,
0.5,0.3,0.05,0.7692625000000001,
0.52,0.3,0.05,0.769695,
0.54,0.3,0.05,0.7686775,
0.56,0.3,0.05,0.7695512500000001,
0.58,0.3,0.05,0.7690300000000001,
0.6,0.3,0.05,0.7693799999999998,
0.62,0.3,0.05,0.7690325,
0.64,0.3,0.05,0.7696549999999999,
0.66,0.3,0.05,0.7694525,
0.68,0.3,0.05,0.7686962500000001,
0.7000000000000001,0.3,0.05,0.7690187499999999,
0.72,0.3,0.05,0.76924125,
0.74,0.3,0.05,0.7691537500000001,
0.76,0.3,0.05,0.7689387499999999,
0.78,0.3,0.05,0.7689575000000001,
0.8,0.3,0.05,0.7694225,
0.8200000000000001,0.3,0.05,0.76937,
0.84,0.3,0.05,0.7697125,
0.86,0.3,0.05,0.7691475,
0.88,0.3,0.05,0.7688737499999999,
0.9,0.3,0.05,0.76921875,
0.92,0.3,0.05,0.7692925000000002,
0.9400000000000001,0.3,0.05,0.7695112500000001,
0.96,0.3,0.05,0.76902,
0.98,0.3,0.05,0.7688412500000001,
1.0,0.3,0.05,0.76916625,
0.0,0.5,0.05,0.0,5.9762718326414486e-05
0.02,0.5,0.05,0.0,0.0006732491384049796
0.04,0.5,0.05,0.27856250000000005,0.3758611484769036
0.06,0.5,0.05,0.45912875,0.5829762626749144
0.08,0.5,0.05,0.5401625,0.6869498163265626
0.1,0.5,0.05,0.58299625,
0.12,0.5,0.05,0.6097575,
0.14,0.5,0.05,0.6269187500000001,
0.16,0.5,0.05,0.6388312500000001,
0.18,0.5,0.05,0.6470975,
0.2,0.5,0.05,0.6525175,
0.22,0.5,0.05,0.6563325,
0.24,0.5,0.05,0.6591462500000002,
0.26,0.5,0.05,0.66146375,
0.28,0.5,0.05,0.662795,
0.3,0.5,0.05,0.6639775,
0.32,0.5,0.05,0.6651150000000001,
0.34,0.5,0.05,0.66513,
0.36,0.5,0.05,0.66619625,
0.38,0.5,0.05,0.66547875,
0.4,0.5,0.05,0.666315,
0.42,0.5,0.05,0.6663762500000001,
0.44,0.5,0.05,0.6661449999999999,
0.46,0.5,0.05,0.66616,
0.48,0.5,0.05,0.6662362500000001,
0.5,0.5,0.05,0.6666624999999999,
0.52,0.5,0.05,0.66669625,
0.54,0.5,0.05,0.6663612499999999,
0.56,0.5,0.05,0.666795,
0.58,0.5,0.05,0.6673924999999999,
0.6,0.5,0.05,0.66664,
0.62,0.5,0.05,0.6669637500000001,
0.64,0.5,0.05,0.6670087499999999,
0.66,0.5,0.05,0.6671025,
0.68,0.5,0.05,0.6665787499999999,
0.7000000000000001,0.5,0.05,0.6667825000000001,
0.72,0.5,0.05,0.6661775,
0.74,0.5,0.05,0.6666487499999999,
0.76,0.5,0.05,0.66642875,
0.78,0.5,0.05,0.6668375000000001,
0.8,0.5,0.05,0.66687375,
0.8200000000000001,0.5,0.05,0.6670450000000001,
0.84,0.5,0.05,0.6667762500000001,
0.86,0.5,0.05,0.6663125,
0.88,0.5,0.05,0.6670512500000001,
0.9,0.5,0.05,0.6662175,
0.92,0.5,0.05,0.6667062500000001,
0.9400000000000001,0.5,0.05,0.66638375,
0.96,0.5,0.05,0.6661449999999999,
0.98,0.5,0.05,0.667185,
1.0,0.5,0.05,0.6669062500000001,
0.0,0.7,0.05,0.0,3.2989181379134204e-05
0.02,0.7,0.05,0.0,0.000196945658871907
0.04,0.7,0.05,0.006900000000000001,0.12883137497467773
0.06,0.7,0.05,0.30060875,0.417049221050514
0.08,0.7,0.05,0.4118275,0.5622053940492767
0.1,0.7,0.05,0.47059375,
0.12,0.7,0.05,0.5067875000000001,
0.14,0.7,0.05,0.53058375,
0.16,0.7,0.05,0.5466525,
0.18,0.7,0.05,0.558015,
0.2,0.7,0.05,0.56591875,
0.22,0.7,0.05,0.5716625,
0.24,0.7,0.05,0.5758924999999999,
0.26,0.7,0.05,0.579015,
0.28,0.7,0.05,0.580985,
0.3,0.7,0.05,0.5830074999999999,
0.32,0.7,0.05,0.5841225,
0.34,0.7,0.05,0.58497625,
0.36,0.7,0.05,0.585765,
0.38,0.7,0.05,0.58684375,
0.4,0.7,0.05,0.58717,
0.42,0.7,0.05,0.587425,
0.44,0.7,0.05,0.5877787499999999,
0.46,0.7,0.05,0.58757625,
0.48,0.7,0.05,0.58810125,
0.5,0.7,0.05,0.5881037499999999,
0.52,0.7,0.05,0.5883075,
0.54,0.7,0.05,0.58822875,
0.56,0.7,0.05,0.588405,
0.58,0.7,0.05,0.5885975,
0.6,0.7,0.05,0.5880312499999999,
0.62,0.7,0.05,0.58848125,
0.64,0.7,0.05,0.58825375,
0.66,0.7,0.05,0.5881062499999999,
0.68,0.7,0.05,0.58835125,
