Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.00047277341311669543
0.02,0.1,0.05,0.7106433333333332,0.7492601399511211
0.04,0.1,0.05,0.83021,0.874533438870067
0.06,0.1,0.05,0.8670141666666666,0.9163331469122423
0.08,0.1,0.05,0.8838274999999999,
0.1,0.1,0.05,0.8945050000000001,
0.12,0.1,0.05,0.9002291666666667,
0.14,0.1,0.05,0.903,
0.16,0.1,0.05,0.9053024999999999,
0.18,0.1,0.05,0.906785,
0.2,0.1,0.05,0.9073866666666666,
0.22,0.1,0.05,0.9081558333333334,
0.24,0.1,0.05,0.9086950000000001,
0.26,0.1,0.05,0.9089191666666666,
0.28,0.1,0.05,0.9089833333333334,
0.3,0.1,0.05,0.9089183333333333,
0.32,0.1,0.05,0.9091258333333333,
0.34,0.1,0.05,0.9090833333333334,
0.36,0.1,0.05,0.9087308333333334,
0.38,0.1,0.05,0.9092125,
0.4,0.1,0.05,0.9095099999999999,
0.42,0.1,0.05,0.9091358333333334,
0.44,0.1,0.05,0.9091999999999999,
0.46,0.1,0.05,0.9089958333333332,
0.48,0.1,0.05,0.9092649999999999,
0.5,0.1,0.05,0.9088508333333334,
0.52,0.1,0.05,0.9093625,
0.54,0.1,0.05,0.90924,
0.56,0.1,0.05,0.9091425000000001,
0.58,0.1,0.05,0.9093083333333333,
0.6,0.1,0.05,0.9090733333333333,
0.62,0.1,0.05,0.9094341666666667,
0.64,0.1,0.05,0.90888,
0.66,0.1,0.05,0.9087416666666667,
0.68,0.1,0.05,0.9092858333333333,
0.7000000000000001,0.1,0.05,0.9093025,
0.72,0.1,0.05,0.9090866666666666,
0.74,0.1,0.05,0.9089133333333334,
0.76,0.1,0.05,0.9088208333333333,
0.78,0.1,0.05,0.9088966666666667,
0.8,0.1,0.05,0.9095041666666666,
0.8200000000000001,0.1,0.05,0.9085775000000001,
0.84,0.1,0.05,0.9089050000000001,
0.86,0.1,0.05,0.9091266666666666,
0.88,0.1,0.05,0.9094466666666666,
0.9,0.1,0.05,0.9090950000000001,
0.92,0.1,0.05,0.9089674999999999,
0.9400000000000001,0.1,0.05,0.9091833333333332,
0.96,0.1,0.05,0.9091475,
0.98,0.1,0.05,0.9088674999999999,
1.0,0.1,0.05,0.908775,
0.0,0.3,0.05,0.0,0.00013957325569625574
0.02,0.3,0.05,0.16159750000000003,0.2525654946545775
0.04,0.3,0.05,0.5364941666666667,0.62447888179931
0.06,0.3,0.05,0.6434375,0.7493924705709765
0.08,0.3,0.05,0.693245,0.8119344980584219
0.1,0.3,0.05,0.720885,
0.12,0.3,0.05,0.7381475000000001,
0.14,0.3,0.05,0.7473791666666666,
0.16,0.3,0.05,0.7543475000000001,
0.18,0.3,0.05,0.7589491666666666,
0.2,0.3,0.05,0.7627158333333333,
0.22,0.3,0.05,0.7643075,
0.24,0.3,0.05,0.7668416666666666,
0.26,0.3,0.05,0.7669058333333334,
0.28,0.3,0.05,0.7680933333333333,
0.3,0.3,0.05,0.7680383333333335,
0.32,0.3,0.05,0.768265,
0.34,0.3,0.05,0.7683241666666666,
0.36,0.3,0.05,0.7692616666666666,
0.38,0.3,0.05,0.7693808333333333,
0.4,0.3,0.05,0.7698233333333334,
0.42,0.3,0.05,0.7690333333333333,
0.44,0.3,0.05,0.7688983333333335,
0.46,0.3,0.05,0.7690691666666667,
0.48,0.3,0.05,0.7689099999999999,
0.5,0.3,0.05,0.7694258333333334,
0.52,0.3,0.05,0.7689825,
0.54,0.3,0.05,0.7691675000000001,
0.56,0.3,0.05,0.7698191666666666,
0.58,0.3,0.05,0.7690683333333334,
0.6,0.3,0.05,0.7688508333333334,
0.62,0.3,0.05,0.7692366666666666,
0.64,0.3,0.05,0.7692025000000001,
0.66,0.3,0.05,0.7693666666666666,
0.68,0.3,0.05,0.7691591666666667,
0.7000000000000001,0.3,0.05,0.7688166666666666,
0.72,0.3,0.05,0.7693266666666666,
0.74,0.3,0.05,0.7686349999999998,
0.76,0.3,0.05,0.7689100000000001,
0.78,0.3,0.05,0.7694791666666666,
0.8,0.3,0.05,0.7691633333333334,
0.8200000000000001,0.3,0.05,0.7693783333333333,
0.84,0.3,0.05,0.769105,
0.86,0.3,0.05,0.7694733333333333,
0.88,0.3,0.05,0.7697674999999999,
0.9,0.3,0.05,0.7689808333333333,
0.92,0.3,0.05,0.7690908333333334,
0.9400000000000001,0.3,0.05,0.769525,
0.96,0.3,0.05,0.7692541666666667,
0.98,0.3,0.05,0.7693466666666666,
1.0,0.3,0.05,0.7693441666666666,
0.0,0.5,0.05,0.0,6.133476059056943e-05
0.02,0.5,0.05,0.0,0.0007518314400547476
0.04,0.5,0.05,0.275805,0.3759188997854485
0.06,0.5,0.05,0.4595066666666666,0.582965684126509
0.08,0.5,0.05,0.5394774999999999,0.6869226120746323
0.1,0.5,0.05,0.5827125,
0.12,0.5,0.05,0.6098366666666667,
0.14,0.5,0.05,0.6268608333333333,
0.16,0.5,0.05,0.6391866666666667,
0.18,0.5,0.05,0.6466249999999999,
0.2,0.5,0.05,0.6524850000000001,
0.22,0.5,0.05,0.6564966666666666,
0.24,0.5,0.05,0.6594083333333333,
0.26,0.5,0.05,0.6609883333333335,
0.28,0.5,0.05,0.6631091666666665,
0.3,0.5,0.05,0.6644541666666666,
0.32,0.5,0.05,0.664855,
0.34,0.5,0.05,0.6653866666666667,
0.36,0.5,0.05,0.6655175,
0.38,0.5,0.05,0.6662466666666665,
0.4,0.5,0.05,0.6665399999999999,
0.42,0.5,0.05,0.6662683333333334,
0.44,0.5,0.05,0.6662516666666667,
0.46,0.5,0.05,0.6660533333333334,
0.48,0.5,0.05,0.6666533333333333,
0.5,0.5,0.05,0.6665958333333333,
0.52,0.5,0.05,0.6668133333333333,
0.54,0.5,0.05,0.6664233333333334,
0.56,0.5,0.05,0.6664508333333333,
0.58,0.5,0.05,0.6665191666666667,
0.6,0.5,0.05,0.6663591666666667,
