Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.00048647561468153857
0.02,0.1,0.05,0.6285533333333333,0.6638572567211494
0.04,0.1,0.05,0.786485,0.8280134569165231
0.06,0.1,0.05,0.8395900000000001,0.8843687571551965
0.08,0.1,0.05,0.8644858333333333,
0.1,0.1,0.05,0.8783416666666666,
0.12,0.1,0.05,0.8889083333333332,
0.14,0.1,0.05,0.8938683333333333,
0.16,0.1,0.05,0.8983566666666667,
0.18,0.1,0.05,0.9007283333333334,
0.2,0.1,0.05,0.9031116666666666,
0.22,0.1,0.05,0.9051083333333332,
0.24,0.1,0.05,0.9062975,
0.26,0.1,0.05,0.9069333333333333,
0.28,0.1,0.05,0.9072491666666666,
0.3,0.1,0.05,0.9073266666666666,
0.32,0.1,0.05,0.9080541666666666,
0.34,0.1,0.05,0.90827,
0.36,0.1,0.05,0.9085808333333334,
0.38,0.1,0.05,0.9088466666666666,
0.4,0.1,0.05,0.9087725,
0.42,0.1,0.05,0.9087716666666666,
0.44,0.1,0.05,0.9088583333333333,
0.46,0.1,0.05,0.9089091666666667,
0.48,0.1,0.05,0.9088691666666666,
0.5,0.1,0.05,0.9087841666666665,
0.52,0.1,0.05,0.9092124999999999,
0.54,0.1,0.05,0.9093000000000001,
0.56,0.1,0.05,0.9091941666666667,
0.58,0.1,0.05,0.9087858333333333,
0.6,0.1,0.05,0.9091133333333333,
0.62,0.1,0.05,0.9089216666666666,
0.64,0.1,0.05,0.9089441666666667,
0.66,0.1,0.05,0.908955,
0.68,0.1,0.05,0.9095516666666668,
0.7000000000000001,0.1,0.05,0.9092108333333333,
0.72,0.1,0.05,0.9092975,
0.74,0.1,0.05,0.9089291666666668,
0.76,0.1,0.05,0.9091125,
0.78,0.1,0.05,0.9088441666666667,
0.8,0.1,0.05,0.9094991666666666,
0.8200000000000001,0.1,0.05,0.9094633333333333,
0.84,0.1,0.05,0.9094525,
0.86,0.1,0.05,0.9087225000000001,
0.88,0.1,0.05,0.9094366666666667,
0.9,0.1,0.05,0.9093075,
0.92,0.1,0.05,0.9090683333333334,
0.9400000000000001,0.1,0.05,0.9091374999999999,
0.96,0.1,0.05,0.9091183333333334,
0.98,0.1,0.05,0.9090541666666667,
1.0,0.1,0.05,0.9090091666666666,
0.0,0.3,0.05,0.0,0.00013554435379817677
0.02,0.3,0.05,0.0,0.07120890360802523
0.04,0.3,0.05,0.4339841666666666,0.5062938170287241
0.06,0.3,0.05,0.5731016666666666,0.6638804961785408
0.08,0.3,0.05,0.6414408333333335,
0.1,0.3,0.05,0.6807058333333333,
0.12,0.3,0.05,0.70571,
0.14,0.3,0.05,0.7220883333333333,
0.16,0.3,0.05,0.7341275,
0.18,0.3,0.05,0.7422383333333334,
0.2,0.3,0.05,0.749315,
0.22,0.3,0.05,0.7540058333333333,
0.24,0.3,0.05,0.7574000000000001,
0.26,0.3,0.05,0.7603383333333333,
0.28,0.3,0.05,0.7622249999999999,
0.3,0.3,0.05,0.7633258333333334,
0.32,0.3,0.05,0.7648041666666665,
0.34,0.3,0.05,0.7653425,
0.36,0.3,0.05,0.7667291666666665,
0.38,0.3,0.05,0.7671091666666666,
0.4,0.3,0.05,0.7675399999999999,
0.42,0.3,0.05,0.7682158333333333,
0.44,0.3,0.05,0.7675166666666666,
0.46,0.3,0.05,0.7684025,
0.48,0.3,0.05,0.76869,
0.5,0.3,0.05,0.7680775,
0.52,0.3,0.05,0.7692699999999999,
0.54,0.3,0.05,0.7691808333333333,
0.56,0.3,0.05,0.7694883333333334,
0.58,0.3,0.05,0.7689658333333333,
0.6,0.3,0.05,0.7689216666666667,
0.62,0.3,0.05,0.7688408333333334,
0.64,0.3,0.05,0.7691075,
0.66,0.3,0.05,0.7688633333333332,
0.68,0.3,0.05,0.7688649999999998,
0.7000000000000001,0.3,0.05,0.7692591666666666,
0.72,0.3,0.05,0.7695083333333332,
0.74,0.3,0.05,0.76881,
0.76,0.3,0.05,0.7689616666666665,
0.78,0.3,0.05,0.7692775000000001,
0.8,0.3,0.05,0.7691383333333335,
0.8200000000000001,0.3,0.05,0.7689499999999999,
0.84,0.3,0.05,0.7693691666666667,
0.86,0.3,0.05,0.7693933333333334,
0.88,0.3,0.05,0.7694708333333334,
0.9,0.3,0.05,0.7685391666666667,
0.92,0.3,0.05,0.769085,
0.9400000000000001,0.3,0.05,0.7695641666666666,
0.96,0.3,0.05,0.7693508333333332,
0.98,0.3,0.05,0.7685966666666667,
1.0,0.3,0.05,0.7692291666666666,
0.0,0.5,0.05,0.0,6.0607103403732636e-05
0.02,0.5,0.05,0.0,0.00024598468943925724
0.04,0.5,0.05,0.1533475,0.20931877930668805
0.06,0.5,0.05,0.35925250000000003,0.45514741847837586
0.08,0.5,0.05,0.4624933333333333,0.5843168855131494
0.1,0.5,0.05,0.5227591666666667,
0.12,0.5,0.05,0.5624425,
0.14,0.5,0.05,0.5885458333333333,
0.16,0.5,0.05,0.6071733333333333,
0.18,0.5,0.05,0.6201383333333333,
0.2,0.5,0.05,0.6310708333333334,
0.22,0.5,0.05,0.6387516666666667,
0.24,0.5,0.05,0.6442491666666667,
0.26,0.5,0.05,0.6487725000000001,
0.28,0.5,0.05,0.6522399999999999,
0.3,0.5,0.05,0.6550441666666665,
0.32,0.5,0.05,0.6574216666666668,
0.34,0.5,0.05,0.6595466666666667,
