Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.000476521391185494
0.02,0.1,0.05,0.45771,0.4860769066364933
0.04,0.1,0.05,0.6640600000000001,
0.06,0.1,0.05,0.7518449999999999,
0.08,0.1,0.05,0.79927,
0.1,0.1,0.05,0.82595,
0.12,0.1,0.05,0.8439625000000001,
0.14,0.1,0.05,0.8576524999999999,
0.16,0.1,0.05,0.867475,
0.18,0.1,0.05,0.87523,
0.2,0.1,0.05,0.8831100000000001,
0.22,0.1,0.05,0.885955,
0.24,0.1,0.05,0.8909475,
0.26,0.1,0.05,0.8932575,
0.28,0.1,0.05,0.8955199999999999,
0.3,0.1,0.05,0.8988349999999999,
0.32,0.1,0.05,0.8993775,
0.34,0.1,0.05,0.9011175,
0.36,0.1,0.05,0.9025749999999999,
0.38,0.1,0.05,0.90375,
0.4,0.1,0.05,0.9046875,
0.42,0.1,0.05,0.9054100000000002,
0.44,0.1,0.05,0.9066474999999999,
0.46,0.1,0.05,0.9067624999999999,
0.48,0.1,0.05,0.906605,
0.5,0.1,0.05,0.906875,
0.52,0.1,0.05,0.9072925,
0.54,0.1,0.05,0.9085,
0.56,0.1,0.05,0.9083549999999999,
0.58,0.1,0.05,0.9080575000000001,
0.6,0.1,0.05,0.9083350000000001,
0.62,0.1,0.05,0.9073,
0.64,0.1,0.05,0.908845,
0.66,0.1,0.05,0.9088200000000001,
0.68,0.1,0.05,0.9086250000000001,
0.7000000000000001,0.1,0.05,0.9082675,
0.72,0.1,0.05,0.9090575,
0.74,0.1,0.05,0.9097650000000002,
0.76,0.1,0.05,0.9089625000000001,
0.78,0.1,0.05,0.9086799999999999,
0.8,0.1,0.05,0.9091849999999999,
0.8200000000000001,0.1,0.05,0.9097525000000001,
0.84,0.1,0.05,0.9096550000000001,
0.86,0.1,0.05,0.9093275,
0.88,0.1,0.05,0.9083199999999999,
0.9,0.1,0.05,0.90873,
0.92,0.1,0.05,0.9092375,
0.9400000000000001,0.1,0.05,0.9095225,
0.96,0.1,0.05,0.90921,
0.98,0.1,0.05,0.9097475,
1.0,0.1,0.05,0.908655,
0.0,0.3,0.05,0.0,0.0001434777560838448
0.02,0.3,0.05,0.0,0.06355951594836858
0.04,0.3,0.05,0.2739125,0.3265500142846355
0.06,0.3,0.05,0.4166475,
0.08,0.3,0.05,0.502055,
0.1,0.3,0.05,0.56069,
0.12,0.3,0.05,0.6064225,
0.14,0.3,0.05,0.6344775,
0.16,0.3,0.05,0.6590225000000001,
0.18,0.3,0.05,0.6762425000000001,
0.2,0.3,0.05,0.6925825,
0.22,0.3,0.05,0.7040125,
0.24,0.3,0.05,0.7132875,
0.26,0.3,0.05,0.7215524999999999,
0.28,0.3,0.05,0.72919,
0.3,0.3,0.05,0.7344499999999999,
0.32,0.3,0.05,0.7390475000000001,
0.34,0.3,0.05,0.7446250000000001,
0.36,0.3,0.05,0.7485274999999999,
0.38,0.3,0.05,0.7503425,
0.4,0.3,0.05,0.753015,
0.42,0.3,0.05,0.75459,
0.44,0.3,0.05,0.7569725000000002,
0.46,0.3,0.05,0.7600999999999999,
0.48,0.3,0.05,0.7605275,
0.5,0.3,0.05,0.7612450000000002,
0.52,0.3,0.05,0.7621025,
0.54,0.3,0.05,0.7628475,
0.56,0.3,0.05,0.7643975000000001,
0.58,0.3,0.05,0.7646675,
0.6,0.3,0.05,0.76563,
0.62,0.3,0.05,0.7662425,
0.64,0.3,0.05,0.7671825,
0.66,0.3,0.05,0.766935,
0.68,0.3,0.05,0.7679474999999999,
0.7000000000000001,0.3,0.05,0.7671825000000001,
0.72,0.3,0.05,0.767915,
0.74,0.3,0.05,0.76822,
0.76,0.3,0.05,0.7682974999999999,
0.78,0.3,0.05,0.7685275,
0.8,0.3,0.05,0.7679,
0.8200000000000001,0.3,0.05,0.7685550000000001,
0.84,0.3,0.05,0.7689374999999999,
0.86,0.3,0.05,0.769285,
0.88,0.3,0.05,0.7693475000000001,
0.9,0.3,0.05,0.7700275000000001,
0.92,0.3,0.05,0.7689425,
0.9400000000000001,0.3,0.05,0.7691549999999999,
0.96,0.3,0.05,0.7694025000000001,
0.98,0.3,0.05,0.7693925,
1.0,0.3,0.05,0.7691374999999999,
0.0,0.5,0.05,0.0,6.237049646875936e-05
0.02,0.5,0.05,0.0,7.710415314230271e-05
0.04,0.5,0.05,0.0902525,0.12545129425374507
0.06,0.5,0.05,0.217285,
0.08,0.5,0.05,0.314545,
0.1,0.5,0.05,0.3845475,
0.12,0.5,0.05,0.4341775,
0.14,0.5,0.05,0.47353,
0.16,0.5,0.05,0.5025075,
0.18,0.5,0.05,0.528095,
0.2,0.5,0.05,0.54813,
0.22,0.5,0.05,0.56764,
0.24,0.5,0.05,0.5791375,
0.26,0.5,0.05,0.590955,
0.28,0.5,0.05,0.601505,
0.3,0.5,0.05,0.609625,
0.32,0.5,0.05,0.61651,
0.34,0.5,0.05,0.6230025,
0.36,0.5,0.05,0.6284275,
0.38,0.5,0.05,0.6328475,
0.4,0.5,0.05,0.6369225000000001,
0.42,0.5,0.05,0.6406025,
0.44,0.5,0.05,0.6441149999999999,
0.46,0.5,0.05,0.646055,
0.48,0.5,0.05,0.6495449999999999,
0.5,0.5,0.05,0.6505325000000001,
0.52,0.5,0.05,0.651895,
0.54,0.5,0.05,0.6547200000000001,
0.56,0.5,0.05,0.6557150000000002,
0.58,0.5,0.05,0.6573124999999999,
0.6,0.5,0.05,0.6576775,
0.62,0.5,0.05,0.658815,
0.64,0.5,0.05,0.660735,
0.66,0.5,0.05,0.6608825,
0.68,0.5,0.05,0.6623375,
0.7000000000000001,0.5,0.05,0.662875,
0.72,0.5,0.05,0.6635499999999999,
0.74,0.5,0.05,0.663635,
0.76,0.5,0.05,0.6634750000000001,
0.78,0.5,0.05,0.6636275,
0.8,0.5,0.05,0.6654775,
0.8200000000000001,0.5,0.05,0.6654750000000001,
0.84,0.5,0.05,0.6652250000000001,
0.86,0.5,0.05,0.6655625,
0.88,0.5,0.05,0.6654175000000001,
0.9,0.5,0.05,0.6653825000000001,
0.92,0.5,0.05,0.6652950000000001,
0.9400000000000001,0.5,0.05,0.6659575000000001,
0.96,0.5,0.05,0.6662825000000001,
0.98,0.5,0.05,0.666215,
1.0,0.5,0.05,0.667115,
0.0,0.7,0.05,0.0,3.236127484875731e-05
0.02,0.7,0.05,0.0,2.7345203835748027e-05
0.04,0.7,0.05,0.0,0.017619529838895247
0.06,0.7,0.05,0.10636500000000002,
0.08,0.7,0.05,0.19149249999999998,
0.1,0.7,0.05,0.262425,
0.12,0.7,0.05,0.3155375,
0.14,0.7,0.05,0.35643749999999996,
0.16,0.7,0.05,0.389755,
0.18,0.7,0.05,0.41725750000000006,
0.2,0.7,0.05,0.4404950000000001,
0.22,0.7,0.05,0.4601675,
0.24,0.7,0.05,0.47614249999999997,
0.26,0.7,0.05,0.49054500000000006,
0.28,0.7,0.05,0.50278,
0.3,0.7,0.05,0.51295,
0.32,0.7,0.05,0.5224375,
0.34,0.7,0.05,0.5290275,
0.36,0.7,0.05,0.5366675,
0.38,0.7,0.05,0.5422125,
0.4,0.7,0.05,0.5479225,
0.42,0.7,0.05,0.5522475,
0.44,0.7,0.05,0.555955,
0.46,0.7,0.05,0.5593600000000001,
0.48,0.7,0.05,0.5619375,
0.5,0.7,0.05,0.5652349999999999,
0.52,0.7,0.05,0.56789,
0.54,0.7,0.05,0.570375,
0.56,0.7,0.05,0.5720999999999999,
0.58,0.7,0.05,0.5734625,
0.6,0.7,0.05,0.575835,
0.62,0.7,0.05,0.576475,
0.64,0.7,0.05,0.57788,
0.66,0.7,0.05,0.579015,
0.68,0.7,0.05,0.580025,
0.7000000000000001,0.7,0.05,0.58114,
0.72,0.7,0.05,0.5813325,
0.74,0.7,0.05,0.58259,
0.76,0.7,0.05,0.5833999999999999,
0.78,0.7,0.05,0.583665,
0.8,0.7,0.05,0.58454,
0.8200000000000001,0.7,0.05,0.58436,
0.84,0.7,0.05,0.5849425,
0.86,0.7,0.05,0.5852674999999999,
0.88,0.7,0.05,0.58598,
0.9,0.7,0.05,0.5858825,
0.92,0.7,0.05,0.5868975,
0.9400000000000001,0.7,0.05,0.5868525,
0.96,0.7,0.05,0.5870175000000001,
0.98,0.7,0.05,0.58748,
1.0,0.7,0.05,0.58741,
0.0,0.9,0.05,0.0,5.005584311941337e-05
0.02,0.9,0.05,0.0,1.446738821639183e-05
0.04,0.9,0.05,0.0,6.931427989195152e-05
0.06,0.9,0.05,0.0,0.06315988134903308
0.08,0.9,0.05,0.11736500000000001,
0.1,0.9,0.05,0.17673499999999998,
0.12,0.9,0.05,0.23016999999999999,
0.14,0.9,0.05,0.2728075,
0.16,0.9,0.05,0.3066,
0.18,0.9,0.05,0.3377525,
0.2,0.9,0.05,0.36188249999999994,
0.22,0.9,0.05,0.3843600000000001,
0.24,0.9,0.05,0.400505,
0.26,0.9,0.05,0.4166925000000001,
0.28,0.9,0.05,0.42971500000000007,
0.3,0.9,0.05,0.44069749999999996,
0.32,0.9,0.05,0.451315,
0.34,0.9,0.05,0.4597175,
0.36,0.9,0.05,0.46740500000000007,
0.38,0.9,0.05,0.47442499999999993,
0.4,0.9,0.05,0.4806525,
0.42,0.9,0.05,0.4854025,
0.44,0.9,0.05,0.490295,
0.46,0.9,0.05,0.49363999999999997,
0.48,0.9,0.05,0.4976575,
0.5,0.9,0.05,0.5006675,
0.52,0.9,0.05,0.50296,
0.54,0.9,0.05,0.5059625,
0.56,0.9,0.05,0.508255,
0.58,0.9,0.05,0.5098199999999999,
0.6,0.9,0.05,0.5117725,
0.62,0.9,0.05,0.5129975,
0.64,0.9,0.05,0.5147325,
0.66,0.9,0.05,0.51585,
0.68,0.9,0.05,0.5169025,
0.7000000000000001,0.9,0.05,0.5177575,
0.72,0.9,0.05,0.5185949999999999,
0.74,0.9,0.05,0.5196350000000001,
0.76,0.9,0.05,0.5200975,
0.78,0.9,0.05,0.5210825,
0.8,0.9,0.05,0.5216775,
0.8200000000000001,0.9,0.05,0.52212,
0.84,0.9,0.05,0.5222825,
0.86,0.9,0.05,0.5231950000000001,
0.88,0.9,0.05,0.5233150000000001,
0.9,0.9,0.05,0.5239725,
0.92,0.9,0.05,0.5238700000000001,
0.9400000000000001,0.9,0.05,0.5242175,
0.96,0.9,0.05,0.5249125,
0.98,0.9,0.05,0.5248900000000001,
1.0,0.9,0.05,0.5255025000000001,
0.0,0.1,0.1,0.0,0.0004826121651962744
0.02,0.1,0.1,0.4553625,0.48603353222747125
0.04,0.1,0.1,0.66805,
0.06,0.1,0.1,0.7536025000000001,
0.08,0.1,0.1,0.7976300000000001,
