Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.54,0.5,0.05,0.666575,
0.56,0.5,0.05,0.6662625,
0.58,0.5,0.05,0.6676075,
0.6,0.5,0.05,0.66668,
0.62,0.5,0.05,0.66744,
0.64,0.5,0.05,0.6665725,
0.66,0.5,0.05,0.667035,
0.68,0.5,0.05,0.6662300000000001,
0.7000000000000001,0.5,0.05,0.6669149999999999,
0.72,0.5,0.05,0.666665,
0.74,0.5,0.05,0.6660474999999999,
0.76,0.5,0.05,0.6666974999999999,
0.78,0.5,0.05,0.6669874999999998,
0.8,0.5,0.05,0.666575,
0.8200000000000001,0.5,0.05,0.666575,
0.84,0.5,0.05,0.66704,
0.86,0.5,0.05,0.66628,
0.88,0.5,0.05,0.6663300000000001,
0.9,0.5,0.05,0.6670950000000001,
0.92,0.5,0.05,0.6663,
0.9400000000000001,0.5,0.05,0.667465,
0.96,0.5,0.05,0.6666775,
0.98,0.5,0.05,0.6668424999999999,
1.0,0.5,0.05,0.66664,
0.0,0.7,0.05,0.0,3.298831374118448e-05
0.02,0.7,0.05,0.0,0.00019355697932155202
0.04,0.7,0.05,0.0,0.12866839670416322
0.06,0.7,0.05,0.30007,0.41707040169425097
0.08,0.7,0.05,0.4105500000000001,0.562234364595462
0.1,0.7,0.05,0.47119250000000007,
0.12,0.7,0.05,0.5072775,
0.14,0.7,0.05,0.530975,
0.16,0.7,0.05,0.5465150000000001,
0.18,0.7,0.05,0.5571325,
0.2,0.7,0.05,0.5655275000000001,
0.22,0.7,0.05,0.5713625,
0.24,0.7,0.05,0.5759099999999999,
0.26,0.7,0.05,0.5799124999999999,
0.28,0.7,0.05,0.5811525000000001,
0.3,0.7,0.05,0.5831875,
0.32,0.7,0.05,0.583935,
0.34,0.7,0.05,0.5854725,
0.36,0.7,0.05,0.5859025,
0.38,0.7,0.05,0.5861925,
0.4,0.7,0.05,0.5871724999999999,
0.42,0.7,0.05,0.587775,
0.44,0.7,0.05,0.58786,
0.46,0.7,0.05,0.5878625,
0.48,0.7,0.05,0.5880525,
0.5,0.7,0.05,0.5880525,
0.52,0.7,0.05,0.5877325,
0.54,0.7,0.05,0.5877199999999999,
0.56,0.7,0.05,0.5884875,
0.58,0.7,0.05,0.5880925,
0.6,0.7,0.05,0.587645,
0.62,0.7,0.05,0.5881449999999999,
0.64,0.7,0.05,0.58797,
0.66,0.7,0.05,0.58789,
0.68,0.7,0.05,0.58826,
0.7000000000000001,0.7,0.05,0.5880225,
0.72,0.7,0.05,0.5884625,
0.74,0.7,0.05,0.58815,
0.76,0.7,0.05,0.5882225,
0.78,0.7,0.05,0.5890975,
0.8,0.7,0.05,0.5886199999999999,
0.8200000000000001,0.7,0.05,0.5885425,
0.84,0.7,0.05,0.587645,
0.86,0.7,0.05,0.588755,
0.88,0.7,0.05,0.5886925,
0.9,0.7,0.05,0.5884625,
0.92,0.7,0.05,0.58809,
0.9400000000000001,0.7,0.05,0.5881325,
0.96,0.7,0.05,0.5881325,
0.98,0.7,0.05,0.5880525,
1.0,0.7,0.05,0.5885975,
0.0,0.9,0.05,0.0,4.849876025552376e-05
0.02,0.9,0.05,0.0,0.00011877993367432065
0.04,0.9,0.05,0.0,0.000684388904838982
0.06,0.9,0.05,0.16220249999999997,0.2518170006144284
0.08,0.9,0.05,0.3024725,0.43774886501131677
0.1,0.9,0.05,0.3770425,
0.12,0.9,0.05,0.42116,
0.14,0.9,0.05,0.45266249999999997,
0.16,0.9,0.05,0.4727425,
0.18,0.9,0.05,0.48709500000000006,
0.2,0.9,0.05,0.49718,
0.22,0.9,0.05,0.5043425,
0.24,0.9,0.05,0.50944,
0.26,0.9,0.05,0.5136775,
0.28,0.9,0.05,0.5165075,
0.3,0.9,0.05,0.518845,
0.32,0.9,0.05,0.520305,
0.34,0.9,0.05,0.5217375,
0.36,0.9,0.05,0.5229525,
0.38,0.9,0.05,0.5237475,
0.4,0.9,0.05,0.5245725,
0.42,0.9,0.05,0.52474,
0.44,0.9,0.05,0.5250225000000001,
0.46,0.9,0.05,0.525485,
0.48,0.9,0.05,0.5252800000000001,
0.5,0.9,0.05,0.5258025000000001,
0.52,0.9,0.05,0.525895,
0.54,0.9,0.05,0.52617,
0.56,0.9,0.05,0.5259925000000001,
0.58,0.9,0.05,0.5260025,
0.6,0.9,0.05,0.5263525,
0.62,0.9,0.05,0.5262075,
0.64,0.9,0.05,0.526395,
0.66,0.9,0.05,0.5260475,
0.68,0.9,0.05,0.526105,
0.7000000000000001,0.9,0.05,0.5262,
0.72,0.9,0.05,0.5261675,
0.74,0.9,0.05,0.526335,
0.76,0.9,0.05,0.5263849999999999,
0.78,0.9,0.05,0.52611,
0.8,0.9,0.05,0.52657,
0.8200000000000001,0.9,0.05,0.52657,
0.84,0.9,0.05,0.5258975,
0.86,0.9,0.05,0.5266175,
0.88,0.9,0.05,0.52639,
0.9,0.9,0.05,0.5267025000000001,
0.92,0.9,0.05,0.5262025,
