Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.00047175073972502093
0.02,0.1,0.05,0.0001,0.1116956122429985
0.04,0.1,0.05,0.4228175,0.48064140158131113
0.06,0.1,0.05,0.586965,0.6338779766114776
0.08,0.1,0.05,0.6738050000000001,0.7166600920201527
0.1,0.1,0.05,0.726985,0.768617185723499
0.12,0.1,0.05,0.7650550000000002,0.8043291410726636
0.14,0.1,0.05,0.7909149999999999,0.8304080730544268
0.16,0.1,0.05,0.8110275,0.8503147462892973
0.18,0.1,0.05,0.8271475000000001,
0.2,0.1,0.05,0.8374449999999999,
0.22,0.1,0.05,0.8485225,
0.24,0.1,0.05,0.858235,
0.26,0.1,0.05,0.8634475,
0.28,0.1,0.05,0.8691550000000001,
0.3,0.1,0.05,0.8734350000000001,
0.32,0.1,0.05,0.8780199999999999,
0.34,0.1,0.05,0.8814275,
0.36,0.1,0.05,0.883485,
0.38,0.1,0.05,0.8869925,
0.4,0.1,0.05,0.88857,
0.42,0.1,0.05,0.8912350000000001,
0.44,0.1,0.05,0.8943475000000001,
0.46,0.1,0.05,0.8952025,
0.48,0.1,0.05,0.8972024999999999,
0.5,0.1,0.05,0.8977249999999999,
0.52,0.1,0.05,0.8999524999999999,
0.54,0.1,0.05,0.901015,
0.56,0.1,0.05,0.9009275,
0.58,0.1,0.05,0.9026925,
0.6,0.1,0.05,0.9034350000000001,
0.62,0.1,0.05,0.904235,
0.64,0.1,0.05,0.9046850000000001,
0.66,0.1,0.05,0.9057200000000001,
0.68,0.1,0.05,0.9055125,
0.7000000000000001,0.1,0.05,0.9056750000000001,
0.72,0.1,0.05,0.905685,
0.74,0.1,0.05,0.9072724999999999,
0.76,0.1,0.05,0.9067125000000001,
0.78,0.1,0.05,0.9071575000000002,
0.8,0.1,0.05,0.907025,
0.8200000000000001,0.1,0.05,0.9075025,
0.84,0.1,0.05,0.90819,
0.86,0.1,0.05,0.9080925000000001,
0.88,0.1,0.05,0.9079575,
0.9,0.1,0.05,0.9078499999999999,
0.92,0.1,0.05,0.907665,
0.9400000000000001,0.1,0.05,0.9092850000000001,
0.96,0.1,0.05,0.9080000000000001,
0.98,0.1,0.05,0.90911,
1.0,0.1,0.05,0.9092150000000001,
0.0,0.3,0.05,0.0,0.00013541203896476995
0.02,0.3,0.05,0.0,0.00016961555992224214
0.04,0.3,0.05,0.0,0.000429881338495419
0.06,0.3,0.05,0.0,0.10963841022673065
0.08,0.3,0.05,0.17522,0.2783210125004475
0.1,0.3,0.05,0.3124675,0.3958032414036733
0.12,0.3,0.05,0.3981875,0.48062201066802074
0.14,0.3,0.05,0.4615025,0.5444207559480945
0.16,0.3,0.05,0.5117875000000001,0.5940948947642652
0.18,0.3,0.05,0.5484924999999999,0.6338730440707679
0.2,0.3,0.05,0.5791025,
0.22,0.3,0.05,0.6050225,
0.24,0.3,0.05,0.6253825,
0.26,0.3,0.05,0.640665,
0.28,0.3,0.05,0.65724,
0.3,0.3,0.05,0.6688775000000001,
0.32,0.3,0.05,0.6807125,
0.34,0.3,0.05,0.6906325,
0.36,0.3,0.05,0.6979500000000001,
0.38,0.3,0.05,0.705355,
0.4,0.3,0.05,0.7120425,
0.42,0.3,0.05,0.7179175000000001,
0.44,0.3,0.05,0.723485,
0.46,0.3,0.05,0.7263425000000001,
0.48,0.3,0.05,0.7310549999999999,
0.5,0.3,0.05,0.7351800000000001,
0.52,0.3,0.05,0.737055,
0.54,0.3,0.05,0.7406899999999998,
0.56,0.3,0.05,0.7437649999999999,
0.58,0.3,0.05,0.7445849999999998,
0.6,0.3,0.05,0.7489775000000001,
0.62,0.3,0.05,0.7502800000000001,
0.64,0.3,0.05,0.75237,
0.66,0.3,0.05,0.7542375,
0.68,0.3,0.05,0.7548349999999999,
0.7000000000000001,0.3,0.05,0.756765,
0.72,0.3,0.05,0.7568174999999999,
0.74,0.3,0.05,0.7584025,
0.76,0.3,0.05,0.759365,
0.78,0.3,0.05,0.761795,
0.8,0.3,0.05,0.7621674999999999,
0.8200000000000001,0.3,0.05,0.7622149999999999,
0.84,0.3,0.05,0.7637925,
0.86,0.3,0.05,0.7637200000000002,
0.88,0.3,0.05,0.7638675,
0.9,0.3,0.05,0.7650675,
0.92,0.3,0.05,0.7655425,
0.9400000000000001,0.3,0.05,0.766045,
0.96,0.3,0.05,0.76595,
0.98,0.3,0.05,0.7664625,
1.0,0.3,0.05,0.7669999999999999,
0.0,0.5,0.05,0.0,6.312980670816362e-05
0.02,0.5,0.05,0.0,8.685823195543961e-05
0.04,0.5,0.05,0.0,8.37395293912515e-05
0.06,0.5,0.05,0.0,0.00017386465683215618
0.08,0.5,0.05,0.0,0.0013277175801138053
0.1,0.5,0.05,0.0,0.10925289408381676
0.12,0.5,0.05,0.13032,0.21801321708625812
0.14,0.5,0.05,0.2156325,0.3051351088276007
0.16,0.5,0.05,0.28478,0.37538347111675036
0.18,0.5,0.05,0.339565,0.4328416875478821
0.2,0.5,0.05,0.38219000000000003,0.4806163151015737
0.22,0.5,0.05,0.418885,
0.24,0.5,0.05,0.448365,
0.26,0.5,0.05,0.4738525,
0.28,0.5,0.05,0.49504750000000003,
0.3,0.5,0.05,0.51266,
0.32,0.5,0.05,0.5293525,
0.34,0.5,0.05,0.5438825,
0.36,0.5,0.05,0.5557775,
0.38,0.5,0.05,0.5660499999999999,
0.4,0.5,0.05,0.5761725,
0.42,0.5,0.05,0.5851425,
0.44,0.5,0.05,0.5918325,
0.46,0.5,0.05,0.5981825,
0.48,0.5,0.05,0.605235,
0.5,0.5,0.05,0.6097699999999999,
0.52,0.5,0.05,0.6144875000000001,
0.54,0.5,0.05,0.61912,
0.56,0.5,0.05,0.6232125000000001,
0.58,0.5,0.05,0.62788,
0.6,0.5,0.05,0.63196,
0.62,0.5,0.05,0.6333825000000001,
0.64,0.5,0.05,0.63631,
0.66,0.5,0.05,0.639815,
0.68,0.5,0.05,0.6424275,
0.7000000000000001,0.5,0.05,0.6441125,
0.72,0.5,0.05,0.6459775000000001,
0.74,0.5,0.05,0.64656,
0.76,0.5,0.05,0.6489475,
0.78,0.5,0.05,0.650565,
0.8,0.5,0.05,0.6532224999999999,
0.8200000000000001,0.5,0.05,0.653875,
0.84,0.5,0.05,0.6549775,
0.86,0.5,0.05,0.656355,
0.88,0.5,0.05,0.6558000000000002,
0.9,0.5,0.05,0.6573025000000001,
0.92,0.5,0.05,0.6582875000000001,
0.9400000000000001,0.5,0.05,0.6590824999999999,
0.96,0.5,0.05,0.660155,
0.98,0.5,0.05,0.6603925,
1.0,0.5,0.05,0.6611499999999999,
0.0,0.7,0.05,0.0,3.258409283379738e-05
0.02,0.7,0.05,0.0,5.110676331539937e-05
0.04,0.7,0.05,0.0,4.156950253439552e-05
0.06,0.7,0.05,0.0,6.747462201741629e-05
0.08,0.7,0.05,0.0,9.802013919808858e-05
0.1,0.7,0.05,0.0,0.00024497614725889946
0.12,0.7,0.05,0.0,0.01857720074283655
0.14,0.7,0.05,0.0,0.1090660798902468
0.16,0.7,0.05,0.11380000000000001,0.18920213811165298
0.18,0.7,0.05,0.18512499999999998,0.25756867090526636
0.2,0.7,0.05,0.23593,0.31602152894102886
0.22,0.7,0.05,0.2764525,
0.24,0.7,0.05,0.31304,
0.26,0.7,0.05,0.343775,
0.28,0.7,0.05,0.37188000000000004,
0.3,0.7,0.05,0.39259000000000005,
0.32,0.7,0.05,0.41375500000000004,
0.34,0.7,0.05,0.43219500000000005,
0.36,0.7,0.05,0.44575000000000004,
0.38,0.7,0.05,0.462865,
0.4,0.7,0.05,0.4720625,
0.42,0.7,0.05,0.4836750000000001,
0.44,0.7,0.05,0.4929049999999999,
0.46,0.7,0.05,0.50144,
0.48,0.7,0.05,0.5083075,
0.5,0.7,0.05,0.5163525000000001,
0.52,0.7,0.05,0.5218025000000001,
0.54,0.7,0.05,0.527625,
0.56,0.7,0.05,0.5327000000000001,
0.58,0.7,0.05,0.5373350000000001,
0.6,0.7,0.05,0.540765,
0.62,0.7,0.05,0.5450625000000001,
0.64,0.7,0.05,0.548755,
0.66,0.7,0.05,0.551825,
0.68,0.7,0.05,0.5549475,
0.7000000000000001,0.7,0.05,0.5579025,
0.72,0.7,0.05,0.5598575,
0.74,0.7,0.05,0.5626825,
0.76,0.7,0.05,0.56466,
0.78,0.7,0.05,0.5668124999999999,
0.8,0.7,0.05,0.5685775000000001,
0.8200000000000001,0.7,0.05,0.5702875,
0.84,0.7,0.05,0.5715725,
0.86,0.7,0.05,0.5731474999999999,
0.88,0.7,0.05,0.5745625,
0.9,0.7,0.05,0.5754499999999999,
0.92,0.7,0.05,0.5763825,
0.9400000000000001,0.7,0.05,0.5774325,
0.96,0.7,0.05,0.5796625,
0.98,0.7,0.05,0.5794125,
1.0,0.7,0.05,0.5800474999999999,
0.0,0.9,0.05,0.0,5.084339808494427e-05
0.02,0.9,0.05,0.0,2.9341958862027416e-05
0.04,0.9,0.05,0.0,3.710163144889061e-05
0.06,0.9,0.05,0.0,3.502662130178698e-05
0.08,0.9,0.05,0.0,4.290219892081778e-05
